filename,instrumentation(s),rtc_bad(s),rtc_good(s),ft_bad(s),ft_good(s),afl_input_bad(ms),afl_input_good(ms),cat_bad(ms),cat_good(ms)
CWE190_Integer_Overflow__int_fgets_add_31.c,1.1981,0.0014,0.0014,20.0145,20.0152,1911,1529,33,5
CWE190_Integer_Overflow__int_fgets_add_42.c,1.2412,0.0024,0.0017,20.0145,20.0149,1992,1677,32,6
CWE190_Integer_Overflow__int_fgets_add_22a.c,1.2899,0.0013,0.0013,20.0158,20.0139,2186,1424,38,4
CWE190_Integer_Overflow__int_fgets_add_41.c,1.2436,0.0014,0.0018,20.0150,20.0150,2357,1636,40,5
CWE190_Integer_Overflow__int_fgets_add_34.c,1.2221,0.0014,0.0016,20.0149,20.0147,1893,1727,32,6
CWE190_Integer_Overflow__int_fgets_add_22b.c,1.2009,0.0018,0.0016,20.0141,20.0140,1917,1503,33,6
CWE190_Integer_Overflow__int_fgets_add_51b.c,1.2244,0.0014,0.0013,20.0138,20.0154,2015,1685,33,7
CWE190_Integer_Overflow__int_fgets_add_51a.c,1.2300,0.0013,0.0015,20.0147,20.0145,2024,1754,34,6
CWE190_Integer_Overflow__int_fgets_add_52c.c,1.1891,0.0019,0.0014,20.0145,20.0151,2336,1705,39,5
CWE190_Integer_Overflow__int_fgets_add_52a.c,1.2375,0.0016,0.0014,20.0143,20.0149,2568,1689,42,5
CWE190_Integer_Overflow__int_fgets_add_53d.c,1.2593,0.0022,0.0014,20.0145,20.0141,1971,1704,33,6
CWE190_Integer_Overflow__int_fgets_add_53a.c,1.2268,0.0014,0.0014,20.0140,20.0153,2119,1721,33,6
CWE190_Integer_Overflow__int_fgets_add_54e.c,1.2075,0.0016,0.0018,20.0149,20.0158,1951,1683,33,6
CWE190_Integer_Overflow__int_fgets_add_54a.c,1.2824,0.0021,0.0015,20.0141,20.0147,1967,1654,35,7
CWE190_Integer_Overflow__int_fgets_add_61a.c,1.2289,0.0013,0.0014,20.0148,20.0144,2088,1747,34,6
CWE190_Integer_Overflow__int_fgets_add_61b.c,1.2562,0.0018,0.0014,20.0152,20.0152,1880,1545,34,5
CWE190_Integer_Overflow__int_fgets_add_63a.c,1.2329,0.0014,0.0014,20.0150,20.0138,2079,1594,35,6
CWE190_Integer_Overflow__int_fgets_add_63b.c,1.2420,0.0014,0.0016,20.0140,20.0154,2162,1686,35,6
CWE190_Integer_Overflow__int_fgets_add_64a.c,1.3085,0.0013,0.0013,20.0191,20.0140,1680,1505,34,4
CWE190_Integer_Overflow__int_fgets_add_64b.c,1.1897,0.0017,0.0015,20.0138,20.0136,1971,1592,33,6
CWE190_Integer_Overflow__int_fgets_add_65a.c,1.2249,0.0013,0.0015,20.0133,20.0143,1843,1641,34,7
CWE190_Integer_Overflow__int_fgets_add_65b.c,1.1880,0.0014,0.0017,20.0137,20.0141,1813,1590,37,7
CWE190_Integer_Overflow__int_fgets_add_66a.c,1.2345,0.0014,0.0013,20.0130,20.0133,1774,1653,33,6
CWE190_Integer_Overflow__int_fgets_add_66b.c,1.1911,0.0014,0.0018,20.0141,20.0143,1991,1652,35,6
CWE190_Integer_Overflow__int_fgets_add_67a.c,1.2332,0.0014,0.0015,20.0133,20.0131,1831,1549,40,7
CWE190_Integer_Overflow__int_fgets_add_67b.c,1.2063,0.0014,0.0017,20.0131,20.0141,1951,1508,33,7
CWE190_Integer_Overflow__int_fgets_add_68a.c,1.2542,0.0013,0.0013,20.0138,20.0181,1753,1530,34,6
CWE190_Integer_Overflow__int64_t_fscanf_square_01.c,1.1911,0.0016,0.0024,20.0140,20.0162,2448,1429,42,4
CWE190_Integer_Overflow__int64_t_fscanf_square_08.c,1.3443,0.0015,0.0016,20.0140,20.0134,2127,1543,39,5
CWE190_Integer_Overflow__int64_t_fscanf_square_07.c,1.3363,0.0018,0.0015,20.0147,20.0145,2150,1500,39,4
CWE190_Integer_Overflow__int64_t_fscanf_square_03.c,1.2830,0.0016,0.0015,20.0145,20.0142,2142,1503,42,4
CWE190_Integer_Overflow__int64_t_fscanf_square_11.c,1.3006,0.0014,0.0016,20.0139,20.0151,2197,1541,42,2
CWE190_Integer_Overflow__int64_t_fscanf_square_12.c,1.2576,0.0015,0.0016,20.0134,20.0135,2009,1446,38,3
CWE190_Integer_Overflow__int64_t_fscanf_square_15.c,1.3291,0.0014,0.0016,20.0143,20.0137,2109,1457,43,6
CWE190_Integer_Overflow__int64_t_fscanf_square_09.c,1.3461,0.0018,0.0015,20.0136,20.0141,2238,1616,41,2
CWE190_Integer_Overflow__int64_t_fscanf_square_16.c,1.2532,0.0019,0.0019,20.0170,20.0135,2165,1527,38,5
CWE190_Integer_Overflow__int64_t_fscanf_square_06.c,1.3253,0.0021,0.0016,20.0137,20.0142,2282,1549,40,2
CWE190_Integer_Overflow__int64_t_fscanf_square_02.c,1.2980,0.0016,0.0016,20.0138,20.0139,2138,1394,40,2
CWE190_Integer_Overflow__int64_t_fscanf_square_14.c,1.2995,0.0014,0.0017,20.0132,20.0145,2051,1366,39,2
CWE190_Integer_Overflow__int64_t_fscanf_square_13.c,1.3626,0.0014,0.0021,20.0141,20.0149,1927,1567,37,2
CWE190_Integer_Overflow__int64_t_fscanf_square_05.c,1.2959,0.0015,0.0017,20.0139,20.0149,2217,1461,38,4
CWE190_Integer_Overflow__int64_t_fscanf_square_21.c,1.2905,0.0015,0.0015,20.0146,20.0134,2138,1758,42,5
CWE190_Integer_Overflow__int64_t_fscanf_square_17.c,1.3269,0.0017,0.0015,20.0139,20.0135,2253,1534,38,3
CWE190_Integer_Overflow__int64_t_fscanf_square_10.c,1.3316,0.0014,0.0015,20.0144,20.0142,2241,1386,42,2
CWE190_Integer_Overflow__int64_t_fscanf_square_18.c,1.2896,0.0014,0.0016,20.0136,20.0138,2168,1515,43,2
CWE190_Integer_Overflow__int64_t_fscanf_square_04.c,1.2705,0.0014,0.0015,20.0137,20.0136,2007,1481,36,4
CWE190_Integer_Overflow__int64_t_fscanf_square_22a.c,1.2794,0.0013,0.0016,20.0137,20.0154,2230,1915,38,3
CWE190_Integer_Overflow__int64_t_fscanf_square_22b.c,1.2632,0.0014,0.0016,20.0139,20.0136,2312,1428,53,2
CWE190_Integer_Overflow__int64_t_fscanf_square_42.c,1.2955,0.0015,0.0015,20.0146,20.0144,2171,1446,40,2
CWE190_Integer_Overflow__int64_t_fscanf_square_34.c,1.2576,0.0014,0.0027,20.0137,20.0136,2119,1507,41,2
CWE190_Integer_Overflow__int64_t_fscanf_square_45.c,1.2800,0.0014,0.0015,20.0144,20.0145,2147,1568,37,6
CWE190_Integer_Overflow__int64_t_fscanf_square_31.c,1.3174,0.0015,0.0017,20.0135,20.0141,2123,1325,37,4
CWE190_Integer_Overflow__int64_t_fscanf_square_44.c,1.2378,0.0014,0.0015,20.0140,20.0143,2066,1549,38,2
CWE190_Integer_Overflow__int64_t_fscanf_square_32.c,1.2653,0.0015,0.0015,20.0142,20.0140,2006,1880,37,2
CWE190_Integer_Overflow__int64_t_fscanf_square_41.c,1.2680,0.0015,0.0014,20.0132,20.0139,2124,1644,38,2
CWE190_Integer_Overflow__int64_t_fscanf_square_51a.c,1.2696,0.0015,0.0015,20.0128,20.0157,2519,1457,39,5
CWE190_Integer_Overflow__int64_t_fscanf_square_51b.c,1.3763,0.0013,0.0015,20.0136,20.0141,1987,1415,37,2
CWE190_Integer_Overflow__int64_t_fscanf_square_52c.c,1.2490,0.0015,0.0019,20.0139,20.0147,2221,1448,40,4
CWE190_Integer_Overflow__int64_t_fscanf_square_52a.c,1.2575,0.0017,0.0017,20.0139,20.0137,2120,1627,55,6
CWE190_Integer_Overflow__int64_t_fscanf_square_53d.c,1.2425,0.0015,0.0015,20.0126,20.0145,2379,1510,37,3
CWE190_Integer_Overflow__int64_t_fscanf_square_53a.c,1.2595,0.0014,0.0016,20.0130,20.0137,2322,1870,40,6
CWE190_Integer_Overflow__int64_t_fscanf_square_54a.c,1.3761,0.0015,0.0015,20.0142,20.0141,2324,1659,37,2
CWE190_Integer_Overflow__int64_t_fscanf_square_54e.c,1.2898,0.0015,0.0016,20.0154,20.0143,2162,1546,42,4
CWE190_Integer_Overflow__int64_t_fscanf_square_63a.c,1.3468,0.0014,0.0019,20.0147,20.0130,2236,1673,39,5
CWE190_Integer_Overflow__int64_t_fscanf_square_63b.c,1.2800,0.0014,0.0016,20.0140,20.0149,2379,1520,38,5
CWE190_Integer_Overflow__int64_t_fscanf_square_64a.c,1.2833,0.0014,0.0016,20.0139,20.0139,2782,1828,43,4
CWE190_Integer_Overflow__int64_t_fscanf_square_64b.c,1.2357,0.0019,0.0015,20.0137,20.0144,2185,1490,37,4
CWE190_Integer_Overflow__int64_t_fscanf_square_65a.c,1.2327,0.0019,0.0015,20.0146,20.0152,2262,1964,37,8
CWE190_Integer_Overflow__int64_t_fscanf_square_65b.c,1.2458,0.0020,0.0017,20.0142,20.0150,2332,1482,38,3
CWE190_Integer_Overflow__int64_t_fscanf_square_66a.c,1.2759,0.0017,0.0015,20.0150,20.0151,2352,1591,48,11
CWE190_Integer_Overflow__int64_t_fscanf_square_66b.c,1.2187,0.0016,0.0016,20.0131,20.0153,2266,1538,37,3
CWE190_Integer_Overflow__int64_t_fscanf_square_67a.c,1.2502,0.0013,0.0018,20.0138,20.0148,2221,1744,40,6
CWE190_Integer_Overflow__int64_t_fscanf_square_67b.c,1.2218,0.0015,0.0017,20.0137,20.0146,2254,1591,36,3
CWE190_Integer_Overflow__int_fgets_multiply_01.c,1.2348,0.0014,0.0013,20.0144,20.0140,2632,1982,59,5
CWE190_Integer_Overflow__int_fgets_multiply_04.c,1.2708,0.0013,0.0014,20.0138,20.0139,2151,1872,45,11
CWE190_Integer_Overflow__int_fgets_multiply_11.c,1.2703,0.0016,0.0016,20.0138,20.0141,2048,1610,41,6
CWE190_Integer_Overflow__int_fgets_multiply_15.c,1.2671,0.0013,0.0015,20.0138,20.0192,1951,1665,39,6
CWE190_Integer_Overflow__int_fgets_multiply_22b.c,1.2662,0.0028,0.0023,20.0134,20.0139,1954,2719,41,15
CWE190_Integer_Overflow__int_fgets_multiply_13.c,1.3091,0.0018,0.0014,20.0131,20.0131,1936,1946,39,11
CWE190_Integer_Overflow__int_fgets_multiply_14.c,1.2791,0.0015,0.0013,20.0130,20.0137,1828,1839,39,11
CWE190_Integer_Overflow__int_fgets_multiply_05.c,1.3015,0.0016,0.0013,20.0136,20.0140,1991,1604,40,6
CWE190_Integer_Overflow__int_fgets_multiply_10.c,1.2988,0.0013,0.0014,20.0138,20.0142,1714,1718,39,7
CWE190_Integer_Overflow__int_fgets_multiply_08.c,1.2912,0.0013,0.0014,20.0140,20.0136,2063,1870,43,17
CWE190_Integer_Overflow__int_fgets_multiply_17.c,1.2722,0.0017,0.0013,20.0135,20.0133,2067,1526,43,3
CWE190_Integer_Overflow__int_fgets_multiply_03.c,1.2572,0.0013,0.0014,20.0129,20.0146,2105,1798,44,4
CWE190_Integer_Overflow__int_fgets_multiply_22a.c,1.3391,0.0013,0.0013,20.0139,20.0132,2004,1514,40,10
CWE190_Integer_Overflow__int_fgets_multiply_12.c,1.3240,0.0018,0.0013,20.0137,20.0139,1827,1697,38,11
CWE190_Integer_Overflow__int_fgets_multiply_06.c,1.2641,0.0015,0.0014,20.0130,20.0143,2022,1662,38,7
CWE190_Integer_Overflow__int_fgets_multiply_07.c,1.2696,0.0016,0.0014,20.0137,20.0138,1667,1777,36,11
CWE190_Integer_Overflow__int_fgets_multiply_21.c,1.2850,0.0017,0.0014,20.0137,20.0138,1956,1835,39,5
CWE190_Integer_Overflow__int_fgets_multiply_31.c,1.3332,0.0013,0.0014,20.0136,20.0139,1996,1671,42,4
CWE190_Integer_Overflow__int_fgets_multiply_34.c,1.2366,0.0015,0.0014,20.0136,20.0140,1880,1640,40,4
CWE190_Integer_Overflow__int_fgets_multiply_02.c,1.2379,0.0016,0.0015,20.0132,20.0141,1974,1800,38,4
CWE190_Integer_Overflow__int_fgets_multiply_45.c,1.2747,0.0015,0.0013,20.0163,20.0144,2003,1464,39,2
CWE190_Integer_Overflow__int_fgets_multiply_09.c,1.3378,0.0013,0.0015,20.0180,20.0139,2014,1596,39,3
CWE190_Integer_Overflow__int_fgets_multiply_44.c,1.2973,0.0018,0.0014,20.0134,20.0133,1945,1733,40,3
CWE190_Integer_Overflow__int_fgets_multiply_18.c,1.2966,0.0014,0.0016,20.0131,20.0142,2314,1784,57,5
CWE190_Integer_Overflow__int_fgets_multiply_16.c,1.2524,0.0015,0.0013,20.0135,20.0144,1871,1921,41,6
CWE190_Integer_Overflow__int_fgets_multiply_41.c,1.2693,0.0015,0.0014,20.0197,20.0129,1990,1826,40,8
CWE190_Integer_Overflow__int_fgets_multiply_32.c,1.2631,0.0024,0.0020,20.0131,20.0138,1893,1767,39,10
CWE190_Integer_Overflow__int_fgets_multiply_42.c,1.2656,0.0016,0.0016,20.0133,20.0139,1995,1581,39,4
CWE190_Integer_Overflow__int_fgets_multiply_51b.c,1.2112,0.0015,0.0017,20.0147,20.0159,2407,1920,38,7
CWE190_Integer_Overflow__int_fgets_multiply_52c.c,1.2810,0.0013,0.0015,20.0151,20.0139,2312,2048,39,11
CWE190_Integer_Overflow__int_fgets_multiply_52a.c,1.3119,0.0013,0.0013,20.0139,20.0136,2291,1985,40,10
CWE190_Integer_Overflow__int_fgets_multiply_53a.c,1.2711,0.0013,0.0015,20.0138,20.0136,3291,1906,50,3
CWE190_Integer_Overflow__int_fgets_multiply_53d.c,1.2733,0.0018,0.0013,20.0145,20.0148,2839,1839,47,3
CWE190_Integer_Overflow__int_fgets_multiply_54a.c,1.2600,0.0014,0.0019,20.0145,20.0141,2271,2868,39,10
CWE190_Integer_Overflow__int_fgets_multiply_54e.c,1.2620,0.0014,0.0014,20.0133,20.0145,2152,2032,40,6
CWE190_Integer_Overflow__int_fgets_multiply_63a.c,1.2811,0.0014,0.0015,20.0143,20.0136,2211,2038,40,5
CWE190_Integer_Overflow__int_fgets_multiply_63b.c,1.2394,0.0017,0.0015,20.0139,20.0138,2248,2152,38,13
CWE190_Integer_Overflow__int_fgets_multiply_64a.c,1.2944,0.0015,0.0014,20.0146,20.0144,2371,2599,48,8
CWE190_Integer_Overflow__int_fgets_multiply_64b.c,1.2296,0.0015,0.0014,20.0140,20.0147,2576,2032,41,6
CWE190_Integer_Overflow__int_fgets_multiply_65a.c,1.3056,0.0015,0.0017,20.0143,20.0141,2122,2039,37,9
CWE190_Integer_Overflow__int_fgets_multiply_65b.c,1.2063,0.0017,0.0014,20.0203,20.0139,2206,1963,36,6
CWE190_Integer_Overflow__int_fgets_multiply_66a.c,1.2913,0.0014,0.0018,20.0133,20.0145,2371,2171,41,5
CWE190_Integer_Overflow__int_fgets_multiply_66b.c,1.2572,0.0017,0.0017,20.0139,20.0139,2286,1824,39,5
CWE190_Integer_Overflow__int_fgets_multiply_67a.c,1.2563,0.0015,0.0014,20.0140,20.0142,2287,2224,36,8
CWE190_Integer_Overflow__int_fgets_multiply_67b.c,1.1943,0.0013,0.0014,20.0139,20.0142,2391,2196,50,9
CWE190_Integer_Overflow__int_fgets_square_01.c,1.2306,0.0015,0.0014,20.0137,20.0139,2290,2260,41,18
CWE190_Integer_Overflow__int_fgets_square_42.c,1.2324,0.0012,0.0012,20.0116,20.0123,1068,1120,42,21
CWE190_Integer_Overflow__int_fgets_square_11.c,1.2530,0.0012,0.0012,20.0113,20.0115,1050,1088,41,10
CWE190_Integer_Overflow__int_fgets_square_14.c,1.2412,0.0012,0.0012,20.0113,20.0115,1055,1109,41,12
CWE190_Integer_Overflow__int_fgets_square_21.c,1.2349,0.0011,0.0011,20.0112,20.0116,1074,1110,41,20
CWE190_Integer_Overflow__int_fgets_square_09.c,1.2520,0.0012,0.0011,20.0113,20.0115,1092,1071,41,22
CWE190_Integer_Overflow__int_fgets_square_31.c,1.2554,0.0012,0.0012,20.0115,20.0120,1031,1096,43,7
CWE190_Integer_Overflow__int_fgets_square_06.c,1.2628,0.0011,0.0011,20.0113,20.0115,1082,1049,43,20
CWE190_Integer_Overflow__int_fgets_square_05.c,1.2394,0.0012,0.0011,20.0116,20.0120,1072,1086,42,6
CWE190_Integer_Overflow__int_fgets_square_34.c,1.2456,0.0011,0.0012,20.0116,20.0117,1096,1078,41,6
CWE190_Integer_Overflow__int_fgets_square_44.c,1.2773,0.0011,0.0012,20.0118,20.0118,1093,1081,43,6
CWE190_Integer_Overflow__int_fgets_square_02.c,1.2315,0.0012,0.0011,20.0114,20.0115,1024,1075,51,11
CWE190_Integer_Overflow__int_fgets_square_12.c,1.2063,0.0011,0.0012,20.0112,20.0116,1044,1086,57,8
CWE190_Integer_Overflow__int_fgets_square_07.c,1.2634,0.0011,0.0011,20.0113,20.0115,1047,1124,42,6
CWE190_Integer_Overflow__int_fgets_square_03.c,1.2248,0.0012,0.0011,20.0115,20.0117,1097,1070,43,20
CWE190_Integer_Overflow__int_fgets_square_45.c,1.2337,0.0012,0.0012,20.0117,20.0117,1060,719,41,2
CWE190_Integer_Overflow__int_fgets_square_18.c,1.2149,0.0011,0.0012,20.0123,20.0117,1079,1081,43,6
CWE190_Integer_Overflow__int_fgets_square_17.c,1.2002,0.0011,0.0011,20.0112,20.0115,1053,1115,43,7
CWE190_Integer_Overflow__int_fgets_square_04.c,1.2662,0.0011,0.0011,20.0113,20.0115,1062,1084,42,9
CWE190_Integer_Overflow__int_fgets_square_41.c,1.2479,0.0012,0.0012,20.0123,20.0121,1068,1095,47,7
CWE190_Integer_Overflow__int_fgets_square_10.c,1.2375,0.0012,0.0011,20.0113,20.0116,1046,1118,41,9
CWE190_Integer_Overflow__int_fgets_square_32.c,1.2389,0.0012,0.0012,20.0116,20.0118,1081,1113,43,6
CWE190_Integer_Overflow__int_fgets_square_22b.c,1.2180,0.0011,0.0012,20.0115,20.0117,1063,1071,41,12
CWE190_Integer_Overflow__int_fgets_square_15.c,1.2258,0.0011,0.0012,20.0113,20.0115,1082,1072,45,6
CWE190_Integer_Overflow__int_fgets_square_08.c,1.2346,0.0012,0.0012,20.0114,20.0115,1059,1128,41,11
CWE190_Integer_Overflow__int_fgets_square_13.c,1.2304,0.0012,0.0011,20.0112,20.0114,1067,1134,44,7
CWE190_Integer_Overflow__int_fgets_square_16.c,1.2233,0.0012,0.0013,20.0113,20.0123,1068,1127,42,22
CWE190_Integer_Overflow__int_fgets_square_51b.c,1.2845,0.0013,0.0013,20.0136,20.0141,2334,2352,44,16
CWE190_Integer_Overflow__int_fgets_square_51a.c,1.5139,0.0013,0.0015,20.0143,20.0135,2235,2687,40,22
CWE190_Integer_Overflow__int_fgets_square_52c.c,1.2602,0.0015,0.0015,20.0144,20.0138,2368,2499,44,18
CWE190_Integer_Overflow__int_fgets_square_52a.c,2.1827,0.0013,0.0021,20.0177,20.0164,2087,2185,52,11
CWE190_Integer_Overflow__int_fgets_square_53d.c,1.2070,0.0012,0.0015,20.0131,20.0139,2197,2225,42,18
CWE190_Integer_Overflow__int_fgets_square_53a.c,1.4191,0.0013,0.0014,20.0139,20.0139,2285,2199,41,17
CWE190_Integer_Overflow__int_fgets_square_54a.c,1.2680,0.0015,0.0014,20.0131,20.0146,2320,2139,42,16
CWE190_Integer_Overflow__int_fgets_square_54e.c,1.2104,0.0013,0.0013,20.0139,20.0140,2351,2369,43,18
CWE190_Integer_Overflow__int_fgets_square_63a.c,1.2425,0.0014,0.0017,20.0132,20.0136,2003,2375,51,15
CWE190_Integer_Overflow__int_fgets_square_63b.c,1.2544,0.0015,0.0014,20.0135,20.0138,2373,2327,43,22
CWE190_Integer_Overflow__int_fgets_square_64b.c,1.2572,0.0014,0.0013,20.0134,20.0142,2291,2230,42,16
CWE190_Integer_Overflow__int_fgets_square_64a.c,1.2926,0.0014,0.0014,20.0135,20.0144,2451,2385,44,22
CWE190_Integer_Overflow__int_fgets_square_65b.c,1.2304,0.0019,0.0014,20.0137,20.0142,2480,2410,43,22
CWE190_Integer_Overflow__int_fgets_square_66a.c,1.2649,0.0014,0.0014,20.0141,20.0136,2351,2329,43,18
CWE190_Integer_Overflow__int_fgets_square_66b.c,1.2290,0.0018,0.0014,20.0131,20.0137,2238,2231,41,17
CWE190_Integer_Overflow__int_fgets_square_67a.c,1.2557,0.0016,0.0014,20.0135,20.0139,2401,2287,40,19
CWE190_Integer_Overflow__int_fgets_square_67b.c,1.2289,0.0014,0.0022,20.0147,20.0148,2196,2339,42,17
CWE190_Integer_Overflow__int_fscanf_add_01.c,1.2117,0.0015,0.0024,20.0132,20.0141,1736,1502,32,5
CWE190_Integer_Overflow__int_fscanf_add_41.c,1.1931,0.0012,0.0013,20.0114,20.0120,787,711,31,5
CWE190_Integer_Overflow__int_fscanf_add_02.c,1.1928,0.0012,0.0012,20.0115,20.0116,787,684,32,4
CWE190_Integer_Overflow__int_fscanf_add_18.c,1.2044,0.0013,0.0013,20.0114,20.0132,700,641,31,5
CWE190_Integer_Overflow__int_fscanf_add_44.c,1.1968,0.0012,0.0013,20.0114,20.0119,803,692,32,4
CWE190_Integer_Overflow__int_fscanf_add_10.c,1.1888,0.0012,0.0012,20.0113,20.0116,750,752,31,3
CWE190_Integer_Overflow__int_fscanf_add_11.c,1.1993,0.0012,0.0013,20.0117,20.0118,1034,731,37,2
CWE190_Integer_Overflow__int_fscanf_add_06.c,1.2086,0.0012,0.0013,20.0114,20.0116,970,664,36,1
CWE190_Integer_Overflow__int_fscanf_add_04.c,1.1922,0.0012,0.0013,20.0116,20.0117,781,666,32,4
CWE190_Integer_Overflow__int_fscanf_add_05.c,1.2279,0.0012,0.0013,20.0114,20.0117,792,689,32,5
CWE190_Integer_Overflow__int_fscanf_add_32.c,1.1809,0.0012,0.0013,20.0113,20.0117,953,694,32,5
CWE190_Integer_Overflow__int_fscanf_add_07.c,1.1734,0.0012,0.0012,20.0113,20.0116,827,672,32,4
CWE190_Integer_Overflow__int_fscanf_add_45.c,1.2320,0.0012,0.0013,20.0113,20.0116,737,661,31,5
CWE190_Integer_Overflow__int_fscanf_add_15.c,1.2376,0.0012,0.0013,20.0113,20.0120,766,671,32,4
CWE190_Integer_Overflow__int_fscanf_add_42.c,1.1959,0.0012,0.0013,20.0114,20.0121,852,747,33,4
CWE190_Integer_Overflow__int_fscanf_add_14.c,1.2136,0.0012,0.0013,20.0117,20.0117,801,692,33,4
CWE190_Integer_Overflow__int_fscanf_add_22a.c,1.2191,0.0012,0.0013,20.0113,20.0116,1135,1013,41,3
CWE190_Integer_Overflow__int_fscanf_add_21.c,1.2141,0.0012,0.0012,20.0113,20.0115,801,685,33,4
CWE190_Integer_Overflow__int_fscanf_add_13.c,1.2176,0.0012,0.0013,20.0114,20.0116,804,697,31,4
CWE190_Integer_Overflow__int_fscanf_add_31.c,1.1558,0.0012,0.0012,20.0114,20.0116,786,760,31,4
CWE190_Integer_Overflow__int_fscanf_add_09.c,1.2044,0.0012,0.0012,20.0117,20.0117,779,733,32,4
CWE190_Integer_Overflow__int_fscanf_add_22b.c,1.2157,0.0012,0.0012,20.0118,20.0117,806,689,31,5
CWE190_Integer_Overflow__int_fscanf_add_17.c,1.1580,0.0012,0.0013,20.0115,20.0115,890,708,33,4
CWE190_Integer_Overflow__int_fscanf_add_12.c,1.1790,0.0012,0.0012,20.0114,20.0116,984,735,36,4
CWE190_Integer_Overflow__int_fscanf_add_16.c,1.1978,0.0012,0.0013,20.0115,20.0120,870,731,33,5
CWE190_Integer_Overflow__int_fscanf_add_34.c,1.1685,0.0012,0.0012,20.0117,20.0117,1014,697,39,2
CWE190_Integer_Overflow__int_fscanf_add_03.c,1.1903,0.0013,0.0012,20.0117,20.0118,810,696,32,4
CWE190_Integer_Overflow__int_fscanf_add_08.c,1.1704,0.0012,0.0013,20.0116,20.0117,833,677,32,5
CWE190_Integer_Overflow__int_fscanf_add_54e.c,1.2294,0.0021,0.0015,20.0144,20.0135,1496,1529,33,5
CWE190_Integer_Overflow__int_fscanf_add_52c.c,1.1812,0.0016,0.0014,20.0131,20.0135,1852,1468,32,5
CWE190_Integer_Overflow__int_fscanf_add_53d.c,1.2106,0.0014,0.0014,20.0137,20.0143,1594,1507,32,4
CWE190_Integer_Overflow__int_fscanf_add_51b.c,1.1986,0.0017,0.0014,20.0136,20.0137,1641,1619,32,4
CWE190_Integer_Overflow__int_fscanf_add_52a.c,1.2276,0.0017,0.0014,20.0136,20.0142,1764,1515,33,4
CWE190_Integer_Overflow__int_fscanf_add_51a.c,1.4026,0.0016,0.0016,20.0142,20.0148,1577,1524,32,4
CWE190_Integer_Overflow__int_fscanf_add_53a.c,1.2209,0.0014,0.0021,20.0144,20.0132,1661,1446,32,5
CWE190_Integer_Overflow__int_fscanf_add_54a.c,1.2634,0.0015,0.0017,20.0138,20.0155,1699,1373,33,5
CWE190_Integer_Overflow__int_fscanf_add_63b.c,1.2023,0.0014,0.0014,20.0140,20.0139,1653,1425,32,4
CWE190_Integer_Overflow__int_fscanf_add_63a.c,1.2586,0.0016,0.0014,20.0127,20.0144,1922,1500,34,8
CWE190_Integer_Overflow__int_fscanf_add_64b.c,1.2013,0.0014,0.0015,20.0131,20.0136,1778,1477,32,5
CWE190_Integer_Overflow__int_fscanf_add_64a.c,1.2542,0.0015,0.0017,20.0132,20.0142,1604,1446,39,5
CWE190_Integer_Overflow__int_fscanf_add_65b.c,1.2018,0.0015,0.0016,20.0136,20.0140,1758,1482,32,5
CWE190_Integer_Overflow__int_fscanf_add_66a.c,1.2191,0.0020,0.0014,20.0139,20.0146,2022,1458,45,4
CWE190_Integer_Overflow__int_fscanf_add_66b.c,1.1563,0.0014,0.0014,20.0134,20.0145,1691,1626,31,5
CWE190_Integer_Overflow__int_fscanf_add_67a.c,1.2252,0.0015,0.0017,20.0140,20.0136,2042,1467,37,4
CWE190_Integer_Overflow__int_fscanf_add_67b.c,1.2143,0.0015,0.0015,20.0142,20.0145,2201,1438,39,4
CWE190_Integer_Overflow__int_fscanf_multiply_01.c,1.1964,0.0014,0.0016,20.0140,20.0144,2792,1744,52,10
CWE190_Integer_Overflow__int_fscanf_multiply_03.c,1.2123,0.0012,0.0013,20.0114,20.0116,981,961,36,6
CWE190_Integer_Overflow__int_fscanf_multiply_08.c,1.2270,0.0012,0.0012,20.0113,20.0117,982,743,33,5
CWE190_Integer_Overflow__int_fscanf_multiply_45.c,1.2043,0.0012,0.0013,20.0116,20.0123,922,712,34,4
CWE190_Integer_Overflow__int_fscanf_multiply_44.c,1.2111,0.0012,0.0013,20.0116,20.0118,1116,889,37,3
CWE190_Integer_Overflow__int_fscanf_multiply_21.c,1.2421,0.0012,0.0013,20.0115,20.0116,904,896,33,8
CWE190_Integer_Overflow__int_fscanf_multiply_05.c,1.1864,0.0012,0.0013,20.0115,20.0117,1080,924,36,8
CWE190_Integer_Overflow__int_fscanf_multiply_32.c,1.1748,0.0012,0.0013,20.0116,20.0116,1129,936,37,9
CWE190_Integer_Overflow__int_fscanf_multiply_14.c,1.1907,0.0012,0.0013,20.0113,20.0117,998,747,35,6
CWE190_Integer_Overflow__int_fscanf_multiply_07.c,1.2176,0.0012,0.0012,20.0114,20.0116,989,945,36,3
CWE190_Integer_Overflow__int_fscanf_multiply_12.c,1.1736,0.0012,0.0013,20.0118,20.0117,1634,1197,57,5
CWE190_Integer_Overflow__int_fscanf_multiply_11.c,1.2118,0.0012,0.0013,20.0114,20.0116,1014,773,35,6
CWE190_Integer_Overflow__int_fscanf_multiply_42.c,1.1938,0.0012,0.0013,20.0117,20.0118,1154,857,38,2
CWE190_Integer_Overflow__int_fscanf_multiply_02.c,1.1947,0.0012,0.0012,20.0115,20.0119,976,755,36,6
